time,odom_x,odom_y,odom_theta,est_x,est_y,est_theta,diff,rate_of_change,expected_change,particle_std_x,particle_std_y,particle_std_theta,linear_vel,angular_vel,anomaly_detected,attack_active
1757357344.4745464,0.7385764896898062,-2.303075417641621,-2.3188,0.7871654449622992,-2.2998397325071394,-2.3213475147347973,0.04876316298278699,0.3330767752749141,0.015105962753295898,0.1221039449645394,0.022282425634593733,0.12465795009125102,0.5,0.0,1,1
1757357344.5075674,0.7232395393138943,-2.3193261528310356,-2.3171,0.7966352461657247,-2.296883292086623,-2.3285012455513012,0.07759252659112204,0.7459619908952874,0.01502072811126709,0.12937653530771256,0.022640602520357263,0.13466416084005667,0.5,0.0,1,1
1757357344.5426793,0.7098744323507521,-2.3336434741197833,-2.3177,0.7407358579458839,-2.2907701233967064,-2.3219694630251047,0.05299792549251866,0.6505938201085814,0.015059471130371094,0.09491448025456571,0.02368869420800047,0.10258013709607802,0.5,0.0,1,1
1757357344.5772116,0.7001793813563342,-2.343991924123774,-2.3208,0.7245684260932417,-2.2842493471542737,-2.3202883852312284,0.06453109913682821,0.46097320160980754,0.01574420928955078,0.0846953773045311,0.023290941322318612,0.08747916806728488,0.5,0.0,1,1
1757357344.6089602,0.6916091900054632,-2.3534173074997606,-2.3241,0.712911996392062,-2.2809716443971033,-2.3204117180438417,0.07560282459086277,0.44857627077128026,0.01466822624206543,0.07318420816473109,0.023958814756519495,0.08078655596184293,0.5,0.0,1,1
1757357344.6456816,0.6798912706681403,-2.3659446583865775,-2.3284,0.6970754495102699,-2.280106922681693,-2.330506547256932,0.08756626299417845,0.6011288852438471,0.014709234237670898,0.07226375187186136,0.02392332868519827,0.06954584916639954,0.5,0.0,1,1
1757357344.6757092,0.6713625758009386,-2.3749721153818144,-2.3347,0.6865836275402952,-2.2795547503295808,-2.3392225905592725,0.09672956008858,0.4544480699099385,0.015321493148803711,0.077531039411237,0.023701842679709442,0.07691443365348208,0.5,0.0,1,1
1757357344.7081132,0.6513612233849392,-2.394876370315617,-2.339,0.6801072928714709,-2.2800509606378867,-2.3411129314417702,0.11838781904343323,0.9403189936939624,0.015177488327026367,0.07255657135360238,0.02159828804944421,0.07068248531894934,0.5,0.0,1,1
1757357344.7423096,0.6342421739754524,-2.4120550062509274,-2.3367,0.6612190389589219,-2.2744950837851183,-2.3451329706419015,0.14043360889396425,0.8129120889099766,0.014983773231506348,0.08654543406883633,0.020833716081629882,0.0829014998546805,0.5,0.0,1,1
1757357344.775221,0.6218647203579634,-2.4245110959960203,-2.3346,0.6346085805305383,-2.2707214343337756,-2.3398893242035395,0.15440739281788288,0.5888653595526017,0.015016317367553711,0.08575139489865903,0.02001243448612119,0.08774006128365702,0.5,0.0,1,1
1757357344.8092473,0.6158468800856414,-2.4314552268249785,-2.3341,0.6245693471781845,-2.26922461756378,-2.335760924617569,0.1624734153147074,0.30516060557655256,0.015078067779541016,0.08302774860408758,0.01857351735960282,0.07752300213803338,0.5,0.0,1,1
1757357344.8439403,0.6030127910454569,-2.4449562680259045,-2.329,0.6188373378151271,-2.2696445157203065,-2.335167983161335,0.17613253757668781,0.6113912894199228,0.01579451560974121,0.0709985959337483,0.0176912403371369,0.07006727664600527,0.5,0.0,1,1
1757357344.874206,0.5942277590664781,-2.454304717371628,-2.3222,0.616195567865114,-2.268510080434632,-2.326051573307315,0.18712847553193293,0.5314969565010649,0.013658881187438965,0.07780855644012696,0.01585180375270557,0.07785638771953383,0.5,0.0,1,1
1757357344.9083295,0.5880753431085437,-2.461532639329987,-2.3105,0.6100158094000708,-2.2668591947137617,-2.31564767453919,0.19597355090163954,0.48237774472097955,0.015616416931152344,0.07257704069561746,0.014592968593967099,0.07657871712674821,0.5,0.0,1,1
1757357344.9449162,0.5809530255238722,-2.4697130136606433,-2.2906,0.6120933924700149,-2.2631773509132667,-2.3026757830437012,0.20921884947622926,0.702578817981626,0.016129136085510254,0.09429476442133118,0.014865644814414119,0.09740016249192833,0.5,0.0,1,1
1757357344.9746935,0.5720586296024334,-2.480476334276055,-2.2584,0.6129820435890971,-2.260207735721195,-2.2882008627772636,0.22601122260612494,1.291792305199795,0.013584613800048828,0.13385216330641536,0.015454413156579245,0.1422661719455713,0.5,0.0,1,1
1757357345.010266,0.5766218193729387,-2.4751670104333483,-2.2383,0.6280990439290248,-2.254525446011719,-2.253534372727225,0.22707860029252824,0.644187872507683,0.016520261764526367,0.2528951179322707,0.01797160997095445,0.23673459298613952,0.5,0.0,1,1
1757357345.0440676,0.5752602601320195,-2.4769874357180557,-2.2223,0.5928610571441193,-2.2617381142336823,-2.2120275004715553,0.21621189306212124,0.5376347005066373,0.015029430389404297,0.11422262934680978,0.018534648173214454,0.11195317232702527,0.5,0.0,1,1
1757357345.0754359,0.5735548230195749,-2.4793656793137533,-2.2004,0.5848270945006965,-2.2657974920564374,-2.198239793663,0.21387636897081092,0.8049245968847962,0.013724684715270996,0.08749181922590157,0.01913921483832295,0.08737054464579709,0.5,0.0,1,1
1757357345.1108627,0.564353010227709,-2.492582997840153,-2.1837,0.57133424464121,-2.273916700473286,-2.181561391135478,0.21878816441011323,0.7775386461578099,0.014919161796569824,0.09461971967065988,0.020143868945909867,0.09186880900560417,0.5,0.0,1,1
1757357345.1448178,0.5585052478004444,-2.5016632280374007,-2.1588,0.5678473421001543,-2.274716976371914,-2.162000897767432,0.22716100373399606,0.7903317408462084,0.01717090606689453,0.08426051581401436,0.01973447687073289,0.08814960397469918,0.5,0.0,1,1
1757357345.1744976,0.5544272669882852,-2.5083363422379072,-2.1392,0.5616276070807277,-2.279505252638207,-2.149399299051742,0.22917141655533674,0.7796452348071309,0.013533473014831543,0.08980873924300928,0.020342508224000425,0.08973737333858232,0.5,0.0,1,1
1757357345.2156894,0.5451877924307097,-2.5232676142764894,-2.1284,0.5580828343078938,-2.2839770984997507,-2.133115612312778,0.23968410469865617,0.5537587545695334,0.018613100051879883,0.09396186365183644,0.02065150879552965,0.09354218429194885,0.5,0.0,1,1
1757357345.2846944,0.536109968922874,-2.539101481779927,-2.1138,0.5498472395269484,-2.288925907569971,-2.1251473837545394,0.25080927744603787,0.8189857269666312,0.014269232749938965,0.07872483897370379,0.019144566851210538,0.08308058164784464,0.5,0.0,1,1
1757357345.3193538,0.5276122184329279,-2.5544440112772593,-2.1055,0.5393122229241105,-2.2875228386828077,-2.113324966779094,0.26729203615032127,0.48690709951077643,0.019925236701965332,0.08022251726464397,0.01755439343493886,0.08667778200321445,0.5,0.0,1,1
1757357345.3286922,0.5166106088381016,-2.572429680748781,-2.1009,0.5334434493939377,-2.2889284466084554,-2.111732452536564,0.2842070307156788,0.6827292083512204,0.015803933143615723,0.0723298876206068,0.01535492151240507,0.07628016208606445,0.5,0.0,1,1
1757357345.3452985,0.50617701777388,-2.5908092370048648,-2.0918,0.5219036318163106,-2.289465056106181,-2.107419877784007,0.302158273645991,1.36602726471139,0.008422374725341797,0.07022208922607705,0.014063452277679788,0.0752171546259445,0.5,0.0,1,1
1757357345.3777797,0.49874575067732396,-2.604186710462917,-2.0828,0.5193772195028666,-2.285359927555062,-2.097459204775677,0.319829747349941,0.6797714051236649,0.013058304786682129,0.08424356858236892,0.013882468251961943,0.08834319604849512,0.5,0.0,1,1
1757357345.4081368,0.4889636692623797,-2.6220792459605016,-2.071,0.5068926764264287,-2.2847124588736887,-2.084349094981451,0.33810648716638264,0.7926973750625205,0.01486063003540039,0.07335141987752757,0.013061215731661979,0.07616122088251344,0.5,0.0,1,1
1757357345.4454074,0.47872277507458,-2.64178975834308,-2.0483,0.49360704632840147,-2.2827591712549715,-2.067806963160759,0.3598680669458523,1.034257681267052,0.015353798866271973,0.07710340230603592,0.012317059199849404,0.08033338933950787,0.5,0.0,1,1
1757357345.4856184,0.4716347156278728,-2.6562302807321783,-2.0251,0.4794365347461606,-2.2814926277679373,-2.035114899544556,0.3749526305329647,0.9730294711289534,0.014506936073303223,0.09073383154054415,0.013190081113692343,0.09624686962130188,0.5,0.0,1,1
1757357345.5088384,0.46381583686609246,-2.6749749660766433,-1.9987,0.4616331501478583,-2.2826063456968626,-2.0042216119154657,0.392413540258472,1.0490178240000916,0.015876054763793945,0.09016869960659599,0.014361120263937373,0.09708613786456367,0.5,0.0,1,1
1757357345.5469525,0.45745867264825923,-2.690831786872544,-1.97,0.45112562397973033,-2.2845735566888288,-1.9735054399896363,0.4063227106709193,1.1197058827030075,0.014914512634277344,0.10033632692561348,0.014131817600016913,0.09937276204477628,0.5,0.0,1,1
1757357345.5744038,0.45002427929805466,-2.7115305664687046,-1.9276,0.45480491972875065,-2.2803220543180664,-1.9491626915467462,0.43177376615634583,1.6300909597392255,0.014650940895080566,0.18907821997687566,0.016435548287186123,0.18640697521093577,0.5,0.0,1,1
1757357345.6072283,0.45433820583215795,-2.7017291856852403,-1.8948,0.436209405318876,-2.276110325313337,-1.9132773640159426,0.4264053009676427,1.1604779113313743,0.014866232872009277,0.29521962803660945,0.020475420264036648,0.2994509244334397,0.5,0.0,1,1
