time,odom_x,odom_y,odom_theta,lidar_x,lidar_y,est_x,est_y,est_theta,diff,rate_of_change,expected_change,covariance_trace,linear_vel,angular_vel,anomaly_detected,attack_active
1757356699.3336225,0.21208561522439773,-0.19632545914651042,-0.7493,0.0,0.0,0.4252247653939675,-0.09034108226127363,-0.7489180341227047,0.7463919200193035,0.7996123267308769,0.01020205020904541,0.06611838259990185,0.5,0.0,0,0
1757356699.379086,0.22742867053517554,-0.2106104007780412,-0.7503,0.0,0.0,0.5079393611702453,-0.09733133242913611,-0.7495043587277774,0.9197594072426477,0.46319934760442083,0.02265477180480957,0.06709722946589035,0.5,0.0,0,0
1757356699.4031057,0.23551043168110541,-0.21821193498928348,-0.7501,0.0,0.0,0.47168484037571773,-0.10248213220361184,-0.7497774525506273,0.8284929666925219,0.4646560677389675,0.011940836906433105,0.06626207838453758,0.5,0.0,0,0
1757356699.4329662,0.24497523273622315,-0.22705823007689044,-0.7499,0.0,0.0,0.4819786152703399,-0.10759631630259328,-0.7499396851472202,0.8423527157883338,0.4354557383816005,0.0148773193359375,0.06612531980592251,0.5,0.0,0,0
1757356699.465934,0.2571609297365491,-0.23844493238423617,-0.7498,0.0,0.0,0.5096447888352855,-0.11308109229214588,-0.7500384263417947,0.8930470985358228,0.5075930324810474,0.016428589820861816,0.0662408679477863,0.5,0.0,0,0
1757356699.4993865,0.2717148998757896,-0.2518811803540417,-0.7502,0.0,0.0,0.5364589255296424,-0.11909511830088787,-0.7502250383713834,0.9400020325547899,0.5934572461564656,0.016691923141479492,0.06635774099933855,0.5,0.0,0,0
1757356699.532523,0.2863093536175657,-0.26544403944100875,-0.7507,0.0,0.0,0.5582306553703027,-0.12543636710176773,-0.7505013741905607,0.975634265508186,0.6037258539134301,0.016505718231201172,0.0664133372598936,0.5,0.0,0,0
1757356699.5659902,0.2968749397549252,-0.2752670791760131,-0.7508,0.0,0.0,0.5797564098981985,-0.13132181577269045,-0.7507296046221595,1.0140230176120975,0.4319621498337065,0.01669919490814209,0.06647810776978312,0.5,0.0,0,0
1757356699.599028,0.3093606907024964,-0.2871841475234057,-0.7511,0.0,0.0,0.5972780993553198,-0.13726823037425512,-0.750977690164043,1.0419458652149578,0.5233955717021453,0.016491055488586426,0.06649362092652394,0.5,0.0,0,0
1757356699.6327114,0.3202377803902832,-0.29744163994085615,-0.7516,0.0,0.0,0.6171411997391565,-0.14298830346679944,-0.75130315577142,1.0764659073564962,0.4455920542858344,0.016785740852355957,0.06654491544401851,0.5,0.0,0,0
1757356699.6660147,0.33423192181376987,-0.31065387079988016,-0.7516,0.0,0.0,0.633947391617456,-0.14906995133111053,-0.7515344878810216,1.101639457791407,0.5792624686104033,0.01661229133605957,0.06655537370792429,0.5,0.0,0,0
1757356699.7030356,0.34374773611226994,-0.31922357857545874,-0.7515,0.0,0.0,0.6697672483198218,-0.15471325187297225,-0.7516850868370839,1.1734284745683041,0.346931997674658,0.018456459045410156,0.06682097684560664,0.5,0.0,0,0
